node attribute,position,V point,V wave,video index
-1.0,882.13763£¬432.46304,29.0£¬-79.672,0.13763428£¬72.46304,32
-1.0,906.7954£¬457.45883,47.5£¬-63.217999999999996,-122.20459£¬89.45883,32
-1.0,113.62485£¬632.38403,-10.5£¬4.330000000000001,96.62485£¬-24.615967,32
1.0,1127.3297£¬664.8564,176.0£¬15.588000000000001,208.32971£¬30.856384,32
1.0,9.2547£¬116.611496,13.0£¬-69.28,6.2546997£¬-324.3885,32
1.0,160.63586£¬247.10721,28.5£¬-71.878,-1.3641357£¬-228.89279,32
1.0,159.75163£¬663.71857,57.5£¬9.526,110.75163£¬-6.281433,32
1.0,539.41003£¬137.36977,12.0£¬-76.208,170.41003£¬-400.63025,32
-1.0,910.58716£¬454.34378,45.5£¬-63.217999999999996,7.587158£¬50.34378,32
1.0,1081.9681£¬244.21571,0.5£¬-75.342,93.96814£¬-127.78429,32
1.0,1247.5939£¬272.76077,2.0£¬-60.62,188.59387£¬-216.23923,32
1.0,32.55876£¬639.5055,-81.5£¬-44.166000000000004,-45.44124£¬-47.494507,32
-1.0,975.2123£¬473.8146,39.0£¬-12.124,-249.35144£¬-8.310608,33
-1.0,42.936203£¬-156.31653,-14.5£¬26.846,109.94325£¬-78.86337,33
-1.0,1027.7502£¬157.91219,29.0£¬-19.052,-366.80127£¬39.709007,33
-1.0,505.92047£¬482.47757,-1.0£¬-17.32,-54.931763£¬80.21677,33
-1.0,111.75137£¬26.492218,-9.0£¬15.588000000000001,322.56454£¬-121.526825,33
1.0,925.31537£¬473.2799,36.0£¬5.196,170.4635£¬159.04553,33
-1.0,1057.4841£¬281.91345,6.5£¬-0.8659999999999999,-327.48462£¬211.51373,33
-1.0,330.87£¬28.168926,-3.0£¬10.392,-9.412048£¬-17.623028,33
-1.0,-288.87762£¬-62.62732,13.0£¬50.228,-95.59061£¬-58.380188,33
1.0,1006.0518£¬436.4328,67.5£¬11.258000000000001,161.67108£¬9.972748,33
-1.0,747.1272£¬384.34604,63.0£¬13.856,-30.579834£¬11.339539,33
-1.0,843.4391£¬182.7001,26.0£¬5.196,-491.32617£¬-4.0775757,33
-1.0,1053.5415£¬343.76694,0.5£¬-0.866,-299.16882£¬284.33548,33
1.0,923.72424£¬387.5761,21.0£¬12.124,98.98352£¬60.876465,33
1.0,645.18317£¬102.777885,9.5£¬-0.866,125.45105£¬20.41536,33
1.0,947.8767£¬396.30356,31.0£¬39.836,31.883972£¬97.039246,33
1.0,832.59814£¬302.22168,26.0£¬0.0,153.15857£¬-49.97177,33
1.0,905.02356£¬348.78604,1.5£¬7.794,8.095398£¬79.05948,33
1.0,145.98837£¬-36.17463,32.0£¬19.052,184.77695£¬-21.697975,33
-1.0,81.10988£¬-152.25671,-32.5£¬30.309999999999995,79.7305£¬-74.81319,33
1.0,925.33276£¬405.50943,14.0£¬3.464,124.99194£¬46.319458,33
1.0,821.3865£¬71.80705,78.5£¬-12.99,224.47968£¬-112.14673,33
1.0,657.94366£¬164.61325,38.0£¬8.66,49.68994£¬6.5756073,33
1.0,150.56087£¬261.48956,49.5£¬0.866,188.28238£¬40.50299,33
1.0,-269.3219£¬-42.683105,-1.5£¬-4.33,-90.73596£¬-43.26068,33
1.0,188.93102£¬301.68625,46.0£¬-1.732,206.46503£¬18.825836,33
1.0,804.3015£¬630.2633,46.0£¬-24.248,27.065674£¬-73.40454,33
-1.0,1188.1216£¬509.22858,40.0£¬13.856,-121.43445£¬19.884094,33
1.0,183.81464£¬333.10352,7.5£¬9.526,298.42554£¬43.796356,33
1.0,140.2377£¬314.81482,29.0£¬25.98,190.17001£¬10.444519,33
1.0,928.45856£¬268.35986,-28.5£¬6.061999999999998,-483.67535£¬89.1084,33
1.0,898.10736£¬184.15637,-9.0£¬-8.66,-10.740723£¬-17.841568,33
-1.0,943.0833£¬409.59134,20.0£¬-6.928,-140.32233£¬25.890533,33
-1.0,43.744743£¬459.00574,22.5£¬16.454,-393.74673£¬-28.898468,33
1.0,1262.4193£¬466.83337,1.0£¬-1.732,368.9757£¬-105.66467,33
1.0,388.71375£¬708.17053,37.5£¬26.846,561.12054£¬269.23962,33
1.0,257.8858£¬593.10345,50.5£¬4.33,194.71558£¬234.96246,33
1.0,266.7247£¬277.5449,3.5£¬0.866,397.75122£¬44.39102,33
1.0,108.00082£¬478.77203,-1.5£¬9.526,35.331047£¬219.45868,33
1.0,801.0613£¬432.18652,-9.5£¬44.166000000000004,25.827332£¬140.92068,33
-1.0,1050.4858£¬537.3157,75.5£¬33.774,-198.28003£¬-1.298523,33
1.0,98.294525£¬714.28955,24.5£¬9.526,136.53656£¬275.77606,33
1.0,107.443375£¬672.0577,25.0£¬5.196000000000001,181.91307£¬182.73807,33
1.0,195.50859£¬724.2067,20.5£¬28.578,226.70291£¬223.73325,33
-1.0,28.819483£¬200.6118,3.5£¬0.866,-174.37648£¬23.748795,33
-1.0,162.80621£¬266.78354,22.0£¬-15.588,-158.45395£¬122.02719,33
1.0,666.198£¬156.23987,36.5£¬9.526,201.13806£¬44.360283,33
-1.0,1080.7013£¬585.81537,27.5£¬16.454,-77.860596£¬-15.179565,33
1.0,962.0955£¬425.00183,55.5£¬6.062,256.27777£¬72.072235,33
1.0,1204.912£¬415.105,45.5£¬-4.33,285.16858£¬-56.844727,33
-1.0,818.9956£¬186.30902,-8.0£¬34.64,-163.43268£¬-289.2278,33
1.0,76.16307£¬653.8562,19.0£¬45.032,87.521484£¬208.18304,33
1.0,51.161083£¬556.635,4.0£¬32.908,-168.52791£¬224.54422,33
-1.0,927.0406£¬509.11337,13.0£¬0.0,-74.3913£¬-42.28421,34
-1.0,777.9494£¬298.51776,-5.0£¬17.32,17.570923£¬-14.824188,34
1.0,1147.5548£¬530.5231,61.5£¬97.858,-0.5028076£¬29.997528,34
-1.0,-9.491272£¬-167.94922,-2.5£¬9.526,0.12147522£¬-10.842041,34
-1.0,1037.0914£¬159.1049,18.0£¬-10.392,-182.75073£¬56.477287,34
-1.0,938.3033£¬391.41605,41.0£¬34.64,-50.318115£¬-21.640106,34
-1.0,924.78894£¬660.73987,-56.0£¬-38.104,7.4798584£¬41.07733,34
1.0,91.04822£¬12.2196865,49.0£¬-5.196,22.61145£¬-10.63447,34
-1.0,-26.160675£¬-166.56134,-0.5£¬9.526,30.521622£¬-60.201736,34
-1.0,266.8628£¬8.261906,5.5£¬2.598,-27.899231£¬-36.54189,34
-1.0,453.59714£¬466.12598,-6.5£¬-6.062,5.488159£¬37.71237,34
-1.0,1064.2386£¬380.40335,68.5£¬-35.506,-46.0166£¬-12.543304,34
-1.0,978.1297£¬441.5511,59.5£¬6.061999999999999,-59.75116£¬17.000916,34
1.0,629.11145£¬93.38395,18.0£¬0.0,51.47516£¬5.2402496,34
-1.0,947.3481£¬397.8828,36.0£¬34.64,-50.245605£¬-19.493683,34
-1.0,1029.1704£¬442.41296,46.0£¬-10.392,-55.614014£¬-10.501587,34
-1.0,855.60474£¬187.9044,22.5£¬16.454,-14.291016£¬-71.40282,34
1.0,929.35596£¬352.26178,-3.5£¬-6.061999999999999,-58.04706£¬-19.01184,34
-1.0,937.6456£¬385.99362,40.0£¬34.64,-57.92914£¬-23.904877,34
-1.0,914.48413£¬383.97775,46.0£¬10.392,-47.82898£¬-15.530273,34
-1.0,287.05777£¬-147.40161,19.5£¬18.186,-3.7430725£¬-33.99019,34
-1.0,845.5809£¬751.6601,-5.0£¬-8.66,9.901001£¬81.496216,34
-1.0,944.30304£¬395.6969,39.0£¬34.64,-48.43042£¬-18.31363,34
1.0,914.84357£¬398.79132,6.5£¬0.866,101.72797£¬4.14447,34
1.0,828.3708£¬52.65215,64.5£¬-40.702,147.49933£¬-89.3307,34
-1.0,147.64072£¬39.185574,-8.5£¬11.258,6.628952£¬-23.586018,34
-1.0,293.12134£¬125.49364,0.5£¬-4.33,-10.78595£¬43.999466,34
1.0,697.2261£¬150.6335,4.0£¬-1.732,66.21661£¬-32.568024,34
-1.0,253.25174£¬-82.50766,-3.5£¬12.99,-3.725708£¬-26.582726,34
1.0,5.42865£¬-147.88925,11.5£¬-6.062,21.978348£¬-44.29393,34
-1.0,611.15826£¬180.3424,-24.0£¬-6.928000000000001,78.54852£¬18.179718,34
-1.0,193.92894£¬301.25974,49.0£¬-24.248,-47.086716£¬1.0537415,34
1.0,263.80066£¬174.23328,7.5£¬4.33,61.682846£¬-0.9567871,34
-1.0,818.01886£¬649.7569,61.0£¬-39.836,-49.587585£¬40.18036,34
-1.0,1178.0245£¬555.50464,46.0£¬-17.32,-85.172485£¬153.00305,34
1.0,937.7197£¬263.25787,-13.0£¬25.98,-204.0293£¬109.12361,34
1.0,909.76544£¬161.21004,-3.0£¬-8.66,-131.11896£¬-80.06128,34
-1.0,921.72705£¬395.6905,20.5£¬7.794,-62.81659£¬-56.98883,34
1.0,364.66644£¬675.0472,43.0£¬3.464,36.819275£¬-25.183228,34
-1.0,277.48837£¬579.93805,33.5£¬14.722,-26.025116£¬-0.9215088,34
1.0,250.57207£¬285.61707,10.5£¬6.062,25.923462£¬12.667114,34
1.0,102.90345£¬493.97556,1.5£¬9.526,31.802635£¬49.120026,34
1.0,134.65735£¬249.32114,-2.5£¬-18.186,-21.038269£¬-26.388824,34
-1.0,800.4188£¬425.39502,59.5£¬56.29,-81.71881£¬-7.0680237,34
-1.0,1032.813£¬501.68744,14.5£¬6.062,-58.283203£¬-66.52759,34
-1.0,28.525608£¬98.05244,-7.0£¬15.588000000000001,18.833298£¬-46.969475,34
1.0,109.46124£¬674.1679,-3.0£¬19.052,-4.1636047£¬41.783875,34
-1.0,1093.6053£¬581.14166,45.5£¬19.918,-33.724365£¬-83.71472,34
1.0,114.18039£¬316.1577,0.0£¬19.052,-46.455475£¬69.05051,34
-1.0,33.563896£¬209.15157,1.5£¬-0.866,-27.769394£¬-1.5898743,34
1.0,121.7412£¬209.33961,-1.0£¬-5.196,-19.374321£¬-60.469376,34
1.0,688.0005£¬143.40422,55.0£¬5.196,148.59045£¬6.0344543,34
1.0,945.24695£¬411.45352,40.0£¬-17.32,112.75391£¬28.560303,34
1.0,915.4362£¬287.41034,-19.0£¬32.908,-166.53192£¬43.194626,34
-1.0,1073.7632£¬379.6671,69.0£¬-3.4639999999999995,-173.83069£¬106.90634,34
-1.0,1190.3564£¬388.98108,64.0£¬1.732,-190.26587£¬105.868835,34
-1.0,297.72748£¬403.30453,5.5£¬12.99,-29.936401£¬-54.460846,35
-1.0,852.4009£¬286.31757,-18.0£¬19.052,91.46509£¬-29.31195,35
1.0,1170.8303£¬557.94434,24.0£¬100.456,36.584106£¬48.054413,35
1.0,990.72186£¬195.73177,-5.5£¬9.526,-37.02838£¬37.81958,35
1.0,852.8902£¬-36.47071,-8.0£¬-17.32,-37.560974£¬-131.83253,35
-1.0,945.36316£¬364.4985,9.0£¬53.692,1.4153442£¬-28.582977,35
-1.0,110.83095£¬-19.409,13.5£¬18.186,-0.9204254£¬-45.90122,35
1.0,994.3893£¬479.85944,31.5£¬0.866,69.07391£¬6.579529,35
1.0,591.3974£¬527.2362,15.5£¬-6.062,28.554565£¬-14.385498,35
-1.0,559.69794£¬-62.97754,36.0£¬1.7319999999999998,-39.904907£¬-22.515144,35
1.0,997.29877£¬255.92392,-5.0£¬1.7319999999999998,-60.185364£¬-25.989532,35
1.0,1046.552£¬439.79095,21.5£¬21.65,40.500183£¬3.3581543,35
1.0,872.23987£¬406.8096,17.5£¬11.258,125.11267£¬22.463562,35
1.0,709.24084£¬125.80682,32.5£¬0.866,64.05768£¬23.028938,35
-1.0,939.8537£¬361.48816,5.5£¬75.342,-8.02301£¬-34.8154,35
1.0,1152.3257£¬492.96808,18.0£¬32.908,29.76587£¬14.716858,35
-1.0,864.8601£¬237.651,-16.0£¬12.123999999999999,32.261963£¬-64.57068,35
1.0,1071.623£¬459.85764,19.5£¬28.578,36.433716£¬26.74472,35
-1.0,817.24005£¬202.57544,10.0£¬-5.196,-29.35376£¬17.656082,35
-1.0,936.1687£¬333.26974,-56.5£¬4.329999999999998,31.145142£¬-15.516296,35
-1.0,102.78029£¬-84.789856,3.5£¬0.866,-43.208084£¬-48.615227,35
1.0,997.1391£¬391.66302,1.0£¬0.0,53.307983£¬3.9632568,35
1.0,689.97345£¬538.51154,12.5£¬-4.33,52.333984£¬-1.6947021,35
-1.0,33.524765£¬-176.9772,19.5£¬0.866,-47.585114£¬-24.72049,35
-1.0,1236.0234£¬656.0026,79.0£¬0.0,-64.73169£¬-16.05658,35
-1.0,287.76764£¬-153.5311,34.0£¬29.444,-49.873657£¬-8.724304,35
-1.0,937.4572£¬358.89062,5.5£¬73.61,-9.029541£¬-36.312286,35
1.0,964.45715£¬391.13647,16.0£¬3.464,39.12439£¬-14.372955,35
-1.0,127.20033£¬23.91927,5.5£¬7.794,-72.059326£¬-32.74882,35
-1.0,258.94647£¬-111.32306,9.0£¬17.32,-78.47534£¬-43.0486,35
-1.0,0.9694824£¬-158.99255,15.0£¬0.0,-48.45777£¬-30.970001,35
-1.0,183.1467£¬304.72888,32.5£¬-26.846,-5.784317£¬3.042633,35
-1.0,264.68802£¬202.47,-16.0£¬-10.392,28.836456£¬16.854477,35
-1.0,810.7129£¬671.0405,17.5£¬-40.702,6.411377£¬40.77722,35
1.0,1191.8557£¬528.7871,20.0£¬19.052,3.7341309£¬19.558533,35
-1.0,137.70303£¬350.5632,-3.0£¬-48.496,-2.534668£¬35.748383,35
1.0,1092.77£¬521.94147,11.5£¬-2.598,58.14917£¬-5.6762085,35
-1.0,856.715£¬170.39471,9.5£¬4.33,-41.392334£¬-13.761658,35
-1.0,1272.4153£¬436.00644,-1.0£¬3.464,9.995972£¬-30.826935,35
-1.0,299.4155£¬602.01086,0.5£¬26.846,-89.29825£¬-106.15967,35
1.0,269.52686£¬296.37234,-5.5£¬9.526,2.8021545£¬18.827454,35
1.0,110.97623£¬523.2479,5.0£¬20.784,2.9754105£¬44.47589,35
-1.0,790.5898£¬374.31525,9.0£¬24.248,-10.471497£¬-57.871277,35
1.0,988.23413£¬463.76318,34.5£¬-2.598,28.773682£¬-21.32602,35
1.0,47.50006£¬756.87085,-13.5£¬23.382,-50.794464£¬42.5813,35
1.0,47.75991£¬702.74866,-10.5£¬28.578,-59.683464£¬30.690979,35
1.0,113.13251£¬284.40247,1.5£¬2.598,-10.05809£¬53.48825,35
-1.0,1151.7141£¬470.0465,2.0£¬-15.588,7.8581543£¬42.653076,35
1.0,136.67319£¬350.4869,-127.5£¬220.82999999999998,2.1324463£¬37.79303,35
1.0,1116.4824£¬614.46606,18.0£¬25.98,35.781128£¬28.650696,35
-1.0,941.85266£¬375.60846,17.5£¬18.186,-20.242859£¬-49.39337,35
-1.0,923.3551£¬468.40076,16.5£¬-6.062,-42.006226£¬1.1185608,35
-1.0,1168.3081£¬397.10565,11.0£¬5.196000000000001,-36.60388£¬-17.99936,35
1.0,844.8518£¬202.34457,12.5£¬9.526,25.856201£¬16.035553,35
-1.0,81.57335£¬641.00195,4.5£¬21.65,5.4102783£¬-12.854248,35
1.0,85.01397£¬523.8514,6.5£¬-11.258,33.852886£¬-32.78363,35
-1.0,887.33185£¬575.9095,25.0£¬-17.32,-39.70874£¬66.79611,36
-1.0,849.67993£¬279.6973,-26.5£¬21.65,71.73053£¬-18.820465,36
1.0,1174.0823£¬563.17834,73.5£¬167.138,26.527466£¬32.655273,36
-1.0,948.1968£¬370.65558,0.5£¬70.146,9.893494£¬-20.760468,36
-1.0,18.175972£¬385.26544,52.0£¬-25.98,-87.289474£¬62.16861,36
-1.0,107.21326£¬-18.275131,1.5£¬51.094,16.16504£¬-30.494818,36
-1.0,552.64246£¬-60.67093,91.5£¬14.722,-4.1452026£¬-0.53666687,36
1.0,264.1054£¬-0.040779114,-9.0£¬-15.588000000000001,-2.7573853£¬-8.302685,36
1.0,1083.2314£¬388.87863,45.5£¬-16.454,18.992798£¬8.475281,36
-1.0,930.4904£¬-162.77167,-2.5£¬-9.526,-12.151611£¬66.50189,36
-1.0,800.4443£¬185.91745,41.5£¬4.33,-51.312683£¬-0.30278015,36
1.0,923.7825£¬355.47427,6.5£¬-14.722,12.063782£¬-25.38086,36
1.0,86.7659£¬97.738335,-1.5£¬0.866,-61.46457£¬-7.383049,36
-1.0,343.97064£¬490.78845,2.5£¬25.114,-88.83359£¬-77.94086,36
1.0,910.107£¬31.38287,50.0£¬-6.928,149.08038£¬-0.34458923,36
1.0,768.38544£¬213.94899,35.5£¬0.866,139.27399£¬120.56504,36
-1.0,942.5665£¬367.22623,-2.0£¬72.744,-4.781555£¬-30.656586,36
1.0,1132.5125£¬475.06592,26.0£¬15.588000000000001,46.278442£¬7.375122,36
-1.0,87.16618£¬-83.68844,22.5£¬16.454,-11.245079£¬-11.031212,36
1.0,992.46576£¬392.6687,2.0£¬0.0,54.82013£¬6.6750793,36
1.0,722.8294£¬518.23413,35.5£¬14.722,79.65051£¬-8.905884,36
-1.0,29.191355£¬67.70734,31.5£¬-11.258000000000001,-84.534676£¬-23.538422,36
-1.0,1165.549£¬646.7365,39.0£¬24.248,-98.76514£¬-28.863281,36
1.0,925.2498£¬356.55383,3.0£¬-17.32,10.765686£¬-27.42392,36
1.0,274.76663£¬-155.91153,-23.5£¬2.597999999999999,-12.291138£¬-8.509918,36
-1.0,940.0671£¬364.67017,-1.5£¬68.414,-4.235962£¬-31.026733,36
1.0,957.81726£¬431.38684,29.5£¬33.774,42.973694£¬32.59552,36
-1.0,551.7989£¬287.4641,-33.5£¬-2.597999999999999,63.442505£¬1.9765015,36
-1.0,115.96519£¬291.73373,2.0£¬-1.732,-18.263618£¬29.597015,36
-1.0,264.48553£¬-114.22868,-9.5£¬12.99,11.233795£¬-31.721024,36
1.0,-10.344238£¬-156.51157,-0.5£¬-0.866,-15.772888£¬-8.622314,36
-1.0,93.4377£¬269.3542,11.5£¬-2.598,-35.281128£¬12.525391,36
-1.0,188.90561£¬365.86148,-3.5£¬-6.062,-0.2328949£¬22.039703,36
-1.0,938.9596£¬261.7631,-6.0£¬32.908,1.2398682£¬-1.4947815,36
-1.0,756.40857£¬162.59122,20.0£¬15.588,-153.35687£¬1.3811798,36
1.0,927.53186£¬360.9683,-1.5£¬-19.918,5.8048096£¬-34.7222,36
1.0,1300.0374£¬447.34122,-1.5£¬-0.866,-10.027466£¬-10.143433,36
-1.0,343.47208£¬524.9579,-18.0£¬38.104,-21.194366£¬-150.0893,36
-1.0,348.3789£¬535.69196,-9.5£¬42.434,70.89053£¬-44.246094,36
1.0,644.5173£¬167.5876,37.0£¬-12.124,48.416138£¬16.266022,36
1.0,120.8406£¬523.9862,-1.0£¬31.176000000000002,17.93715£¬30.01065,36
-1.0,45.260933£¬644.4965,34.0£¬22.516,-64.20031£¬-29.671387,36
-1.0,10.502718£¬109.40817,38.0£¬-31.176,-49.413338£¬22.76986,36
-1.0,1101.5244£¬419.00085,11.0£¬-1.732,-64.743774£¬-21.113007,36
-1.0,218.60527£¬620.7279,-16.0£¬36.372,-4.106262£¬-105.33551,36
1.0,1105.1047£¬636.2979,16.0£¬29.444,60.04236£¬39.45526,36
-1.0,1169.2937£¬409.21173,4.0£¬0.0,-21.062744£¬20.230652,36
1.0,73.08807£¬605.23883,26.0£¬-25.98,5.224556£¬-52.591248,36
1.0,564.4999£¬206.8369,88.0£¬39.836,9.499878£¬2.8368988,36
1.0,1368.1484£¬600.49347,25.0£¬103.92,3.1484375£¬16.49347,36
1.0,530.5503£¬218.33508,114.0£¬-10.392,14.550293£¬-0.664917,36
1.0,1350.9806£¬600.86285,36.0£¬81.404,1.9805908£¬16.862854,36
1.0,1157.098£¬559.22064,108.5£¬200.046,0.09802246£¬4.220642,36
-1.0,989.8972£¬46.43248,71.5£¬18.186,-27.102783£¬-6.56752,36
-1.0,15.274591£¬60.477055,60.5£¬-14.722,-24.725409£¬7.4770546,36
1.0,610.8679£¬714.732,93.5£¬32.042,36.86792£¬-7.2680054,36
1.0,564.1044£¬213.9964,87.5£¬47.63,9.10437£¬1.9963989,36
1.0,574.0819£¬214.67221,56.5£¬21.65,9.081909£¬1.6722107,36
1.0,541.9038£¬213.0251,81.0£¬-5.196,13.903809£¬2.0251007,36
1.0,1175.4634£¬579.0521,61.5£¬75.342,7.463379£¬10.052124,36
-1.0,58.72709£¬528.51013,42.5£¬23.382,-18.272911£¬-57.48987,36
-1.0,990.58215£¬42.522835,79.0£¬13.856,-26.417847£¬3.5228348,36
1.0,291.5542£¬420.84564,-7.0£¬25.98,-6.173279£¬17.541107,37
-1.0,1157.0258£¬559.1836,59.5£¬45.898,-13.804565£¬1.2392578,37
-1.0,519.0948£¬394.6276,-8.0£¬10.392,26.951477£¬-89.99112,37
1.0,954.2585£¬377.58566,12.5£¬6.061999999999999,8.895325£¬13.087158,37
-1.0,956.64075£¬733.0479,2.0£¬-3.464,5.4505005£¬35.7099,37
-1.0,17.603678£¬405.68594,60.5£¬-14.722,-31.558474£¬36.36856,37
1.0,131.14807£¬14.33374,7.0£¬3.464,20.317123£¬33.74274,37
-1.0,985.39764£¬539.37,22.5£¬-21.65,-8.991638£¬59.51056,37
-1.0,538.1797£¬-68.68239,44.0£¬0.0,-21.51825£¬-5.7048492,37
-1.0,1014.4218£¬264.22595,-3.5£¬-7.7940000000000005,17.123047£¬8.302032,37
1.0,278.31683£¬-37.32769,-1.5£¬-7.794,16.092468£¬-37.967293,37
-1.0,489.4688£¬421.4923,-12.5£¬11.258000000000001,90.21039£¬-75.233154,37
-1.0,1078.9359£¬405.15134,4.0£¬-17.32,3.0150146£¬17.116943,37
1.0,1077.8297£¬449.2471,21.5£¬19.918,31.27771£¬9.456146,37
1.0,936.00696£¬447.78943,40.0£¬12.124,63.76709£¬40.979828,37
-1.0,781.2414£¬180.96059,16.0£¬3.464,-28.196838£¬-25.549988,37
1.0,948.7439£¬371.93387,30.0£¬5.196,26.841797£¬18.611237,37
-1.0,324.63272£¬528.13403,-22.0£¬22.516,20.296692£¬-45.456238,37
1.0,902.5969£¬6.849826,31.5£¬-28.578,32.450623£¬-23.11145,37
1.0,743.07684£¬192.0599,13.5£¬6.062,33.836£¬66.25308,37
1.0,1153.7322£¬504.2332,-5.5£¬52.826,1.4064941£¬11.265106,37
-1.0,867.02106£¬255.3429,-0.5£¬-19.918,2.1609497£¬17.691895,37
-1.0,730.81494£¬125.34097,22.5£¬30.310000000000002,-86.42511£¬-77.23447,37
-1.0,944.6726£¬401.16983,7.0£¬-41.568,8.503906£¬67.900085,37
1.0,97.29607£¬-95.69319,-15.5£¬-12.989999999999998,-5.4842224£¬-10.903336,37
1.0,1030.6914£¬397.65057,9.0£¬0.0,33.552307£¬5.987549,37
1.0,738.27325£¬533.15216,40.5£¬-19.918,48.299805£¬-5.359375,37
-1.0,29.836481£¬79.236664,16.5£¬-6.062,-57.543663£¬-14.9203415,37
-1.0,26.783585£¬-172.75037,9.0£¬-8.66,-6.7411804£¬4.226837,37
-1.0,1175.4308£¬612.372,22.0£¬57.156,-60.59265£¬-43.630615,37
1.0,954.51306£¬374.01736,10.5£¬9.526,30.929688£¬19.394592,37
1.0,275.42404£¬-154.75143,-12.5£¬-4.33,-12.343597£¬-1.2203369,37
1.0,129.31688£¬30.256601,13.0£¬6.928,2.1165466£¬6.337332,37
1.0,571.44543£¬335.23233,29.0£¬20.784,106.557434£¬62.18924,37
1.0,1201.9135£¬588.6863,17.0£¬39.836,64.61865£¬59.5083,37
-1.0,265.8562£¬153.33072,10.0£¬-15.588000000000001,-29.67154£¬28.878876,37
-1.0,114.63511£¬296.34253,2.5£¬7.794,0.0892334£¬-0.7821655,37
1.0,-5.3338623£¬-157.38638,-6.5£¬0.8660000000000005,-6.3033447£¬1.6061707,37
-1.0,96.885345£¬271.86404,0.5£¬7.7940000000000005,-5.54187£¬-16.558289,37
-1.0,191.05424£¬283.6615,-1.0£¬6.928,7.907547£¬-21.067383,37
1.0,250.02455£¬206.92307,-14.5£¬19.918,-14.663467£¬4.453064,37
1.0,1218.453£¬573.12494,64.5£¬40.702,17.242432£¬3.5633545,37
-1.0,963.4611£¬382.04462,-3.5£¬-0.8660000000000001,37.347656£¬24.151428,37
1.0,48.22548£¬455.49957,3.0£¬24.248,4.0151367£¬30.057129,37
1.0,1302.7759£¬485.73584,1.5£¬9.526,30.360596£¬49.7294,37
-1.0,327.6967£¬534.32294,-26.5£¬11.258,28.281189£¬-67.68793,37
-1.0,592.2384£¬148.88963,20.0£¬0.0,-33.774963£¬-14.861649,37
1.0,-83.632935£¬114.831474,-4.0£¬1.7320000000000002,-58.830757£¬20.07721,37
1.0,1245.3882£¬560.68835,55.5£¬-7.7940000000000005,97.361206£¬-5.2108765,37
1.0,823.4998£¬406.13437,1.5£¬45.898,32.910034£¬31.819122,37
1.0,64.3521£¬653.39954,0.0£¬-1.732,16.852036£¬-103.47131,37
-1.0,-19.873276£¬136.24301,7.0£¬-1.7319999999999998,-85.47364£¬47.72657,37
1.0,-54.238632£¬210.39734,-4.0£¬1.7320000000000002,-131.19624£¬5.39122,37
1.0,93.77484£¬213.31053,-6.5£¬-4.33,-31.480293£¬-13.875656,37
1.0,680.0415£¬113.274055,70.0£¬0.0,22.058899£¬-5.731598,37
-1.0,938.34973£¬379.10486,54.0£¬-6.928,-3.5029297£¬3.496399,37
-1.0,906.872£¬271.0393,-28.5£¬-11.258,24.477295£¬30.295334,37
1.0,1109.1256£¬398.77182,5.5£¬6.062,25.916626£¬12.494019,37
-1.0,761.9013£¬171.16946,20.5£¬42.434,-82.9505£¬-31.17511,37
1.0,68.95122£¬613.6475,14.0£¬-43.3,-12.622131£¬-27.354431,37
1.0,552.89813£¬216.1249,-39.0£¬72.744,-2.1018677£¬12.124893,37
1.0,1137.6478£¬692.6206,-4.0£¬38.104,11.647827£¬44.620605,37
1.0,1365.3821£¬618.25854,-26.0£¬84.868,0.38208008£¬34.258545,37
1.0,1349.3915£¬618.6654,50.5£¬66.682,0.3914795£¬34.665405,37
1.0,1194.8698£¬557.1268,44.0£¬3.4639999999999995,37.86975£¬2.12677,37
1.0,1035.3489£¬582.79913,7.5£¬11.258,-10.651123£¬56.799133,37
-1.0,1035.2427£¬596.72485,2.5£¬-2.598,-22.757324£¬59.724854,37
1.0,1010.54156£¬35.728706,6.5£¬-16.454,-6.458435£¬-17.271294,37
1.0,1136.9576£¬716.89465,-101.5£¬-6.062000000000012,-14.042358£¬6.8946533,37
-1.0,21.602554£¬66.813324,22.5£¬-82.27,-18.397446£¬13.813324,37
1.0,1002.52563£¬43.72139,-35.5£¬-59.754,-0.47436523£¬-5.27861,37
-1.0,1168.7007£¬558.0905,43.5£¬68.414,-7.2993164£¬-6.909485,37
1.0,552.3936£¬222.8947,-33.0£¬71.012,-2.6063843£¬10.894699,37
1.0,533.5047£¬241.83617,43.5£¬25.114,10.5047£¬7.8361664,37
1.0,930.36206£¬330.37476,3.0£¬43.3,-3.6379395£¬13.374756,37
1.0,562.1684£¬222.56769,-32.0£¬41.568000000000005,-2.831604£¬9.567688,37
1.0,573.41064£¬208.49396,38.5£¬14.722000000000001,45.410645£¬-2.5060425,37
-1.0,1152.3059£¬482.70895,16.0£¬46.764,-15.694092£¬-86.291046,37
-1.0,56.950436£¬535.53174,11.0£¬72.744,-20.049564£¬-50.46826,37
1.0,260.6102£¬425.4997,-7.0£¬38.104,0.09063721£¬21.7807,38
1.0,889.5441£¬573.6071,44.5£¬-2.598,2.2122803£¬-2.3023682,38
1.0,519.8917£¬412.42743,-6.0£¬8.66,5.110718£¬28.291656,38
-1.0,963.7271£¬726.4055,-13.0£¬-1.732000000000001,17.740051£¬8.382019,38
-1.0,124.272255£¬8.903673,-14.5£¬-14.722,17.058998£¬27.178804,38
