node attribute,position,V point,V wave,video index
-1.0,1286.5919£¬510.8035,10.5£¬18.186,-71.40808£¬-23.196503,11
-1.0,626.52997£¬675.4307,53.5£¬-6.062,-91.47003£¬-3.569275,11
-1.0,1220.6239£¬500.59332,-127.5£¬220.82999999999998,14.623901£¬-53.406677,11
1.0,269.4308£¬453.3465,8.5£¬4.33,43.430786£¬80.3465,11
1.0,1041.7001£¬343.51608,16.0£¬60.62,1.7000732£¬28.516083,11
1.0,629.92365£¬646.4469,43.0£¬3.464,69.923645£¬40.4469,11
-1.0,1203.4098£¬637.74854,8.0£¬13.856000000000002,-15.59021£¬-66.251465,11
1.0,662.31433£¬581.44086,43.5£¬4.33,161.40533£¬-117.2749,12
1.0,636.88086£¬593.50604,56.5£¬-0.866,177.57028£¬-34.061707,12
-1.0,78.92235£¬246.04384,0.0£¬-3.464,-6.8571396£¬16.917831,12
-1.0,701.9045£¬592.31055,93.5£¬-16.454,-236.50702£¬109.48309,12
-1.0,1141.5823£¬-3.9263,8.5£¬-11.258,-17.134277£¬46.76951,12
-1.0,1055.9672£¬531.6878,25.5£¬23.382,-5.791626£¬-33.348755,12
1.0,619.355£¬272.9178,-0.5£¬-32.042,-9.768433£¬-90.14215,12
1.0,209.93167£¬314.6404,0.0£¬5.196,6.3117523£¬99.17616,12
1.0,69.95445£¬253.89449,0.0£¬5.196,-12.232704£¬15.7099,12
1.0,1085.3375£¬547.4395,131.5£¬2.598,36.42505£¬-18.628357,12
-1.0,938.49927£¬728.457,20.0£¬1.732,-4.92334£¬2.899475,12
1.0,975.63776£¬584.3069,52.0£¬-77.94,69.25702£¬-80.14758,12
-1.0,1340.6398£¬576.60254,46.0£¬-12.124,-46.328247£¬-19.078247,12
1.0,726.6096£¬658.03864,107.5£¬-38.97,240.14389£¬37.823303,12
-1.0,493.1683£¬616.3225,21.0£¬-3.464,-273.05234£¬137.68747,12
1.0,578.7976£¬434.244,49.0£¬22.516000000000002,125.59088£¬110.75061,12
-1.0,1332.9852£¬529.73004,43.0£¬15.588000000000001,-45.861816£¬-80.791016,12
-1.0,689.29614£¬751.9153,34.5£¬-52.826,-55.726074£¬210.4162,12
1.0,1115.7458£¬488.0526,-23.5£¬7.7940000000000005,-127.81311£¬-34.536377,12
1.0,651.7116£¬488.01797,99.0£¬8.66,226.15356£¬112.944244,12
1.0,1017.4677£¬578.2781,51.0£¬-91.79599999999999,24.703003£¬-11.755188,12
